use,1,1,0,1,0,0,0,0,0
K62581435,NA,NA,3-MPPI,adrenergic receptor ligand,ADRA1A,NA,G-protein coupled amine receptor activity,drug,NA
K62594868,NA,NA,GR125487,serotonin receptor antagonist,HTR4,NA,G-protein coupled amine receptor activity,drug,NA
K62607075,NA,NA,9-anthracenecarboxylic-acid,NA,ANO1|CLCN1,NA,ion channel activity,drug,NA
K62607865,NA,NA,aztreonam,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K62621335,NA,NA,SRPIN340,serine arginine protein kinase inhibitor,SRPK1|SRPK2,NA,protein serine/threonine kinase activity,drug,NA
K62627508,NA,NA,idasanutlin,MDM inhibitor,MDM2|TP53,MAPK signaling pathway,transferase activity,drug,NA
K62676709,NA,NA,guanethidine,adrenergic inhibitor,SLC6A2,NA,transmembrane transporter activity,drug,NA
K62685538,NA,NA,triptorelin,gonadotropin releasing factor hormone receptor agonist,GNRHR,NA,G-protein coupled receptor activity,drug,NA
K62696033,NA,NA,G-1,G protein-coupled receptor agonist,GPER1,NA,G-protein coupled receptor activity,drug,NA
K62715847,NA,NA,SC-51089,prostanoid receptor antagonist,PTGER1,NA,G-protein coupled receptor activity,drug,NA
K62734952,NA,NA,arglabin,farnesyltransferase inhibitor,FNTA|NFKB1,MAPK signaling pathway,transferase activity,drug,NA
K62736196,NA,NA,guanaben-acetate,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,cGMP-PKG signaling pathway,G-protein coupled amine receptor activity,drug,NA
K62737565,NA,NA,gabapentin,calcium channel blocker,ADORA1|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K62738477,NA,NA,GSK2256294A,epoxide hydolase inhibitor,EPHX2,NA,ion binding,drug,NA
K62751771,NA,NA,levomenol,NA,NA,NA,NA,drug,NA
K62752296,NA,NA,endoxifen,estrogen receptor antagonist,ESR1,NA,signaling receptor activity,drug,NA
K62762455,NA,NA,RU-58841,androgen receptor antagonist,AR,NA,signaling receptor activity,drug,NA
K62779383,NA,NA,cholecalciferol,NA,VDR,NA,signaling receptor activity,drug,NA
K62782754,NA,NA,tiotropium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K62790656,NA,NA,caracemide,ribonucleotide reductase inhibitor,RRM1,NA,ATP binding,drug,NA
K62810658,NA,NA,PD-98059,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,PI3K-Akt signaling pathway,NA,drug,NA
K62814476,NA,NA,BMS-265246,CDK inhibitor,CDK1|CDK2,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K62814487,NA,NA,SR-1664,PPAR receptor ligand,PPARG,NA,G-protein coupled receptor activity,drug,NA
K62858456,NA,NA,lomerizine,calcium channel blocker,CACNA1B|SCN5A,NA,ion channel activity,drug,NA
K62914667,NA,NA,hippuric-acid,NA,NA,NA,NA,drug,NA
K62929068,NA,NA,6-benzylaminopurine,purinergic receptor activator,NA,NA,NA,drug,NA
K62949423,NA,NA,NSC-625987,CDK inhibitor,CDK2|CDK4,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K62965247,NA,NA,tipifarnib,farnesyltransferase inhibitor,FNTA|FNTB,NA,transferase activity,drug,NA
K62971431,NA,NA,tasimelteon,melatonin receptor agonist,MTNR1A|MTNR1B,NA,G-protein coupled receptor activity,drug,NA
K62996583,NA,NA,lidoflazine,calcium channel blocker,SCN1A|SCN3A|SLC29A1,NA,ion channel activity,drug,NA
K63001556,NA,NA,orbifloxacin,bacterial DNA gyrase inhibitor,NA,NA,NA,drug,NA
K63018010,NA,NA,relebactam,beta lactamase inhibitor,NA,NA,NA,drug,NA
K63068307,NA,NA,ZSTK-474,PI3K inhibitor,PIK3CB|PIK3CD|PIK3CG,cAMP signaling pathway,kinase activity,drug,NA
K63123526,NA,NA,S-methylcysteine,NA,CTSD|MGMT,NA,NA,drug,NA
K63126190,NA,NA,epinephrine,adrenergic receptor agonist; neurotransmitter,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K63150726,NA,NA,JTE-907,cannabinoid receptor inverse agonist,CNR2,NA,G-protein coupled receptor activity,drug,NA
K63151507,NA,NA,MNITMT,lymphocyte inhibitor,NA,NA,NA,drug,NA
K63165456,NA,NA,norcyclobenzaprine,adrenergic receptor agonist; serotonin receptor antagonist,NA,NA,NA,drug,NA
K63169195,NA,NA,U-0124,MEK inhibitor,NA,NA,NA,drug,NA
K63177377,NA,NA,ETC-1002,AMPK inhibitor,ACLY,NA,ATP binding,drug,NA
K63178091,NA,NA,telotristat,tryptophan hydroxylase inhibitor,TPH1,NA,ion binding,drug,NA
K63247785,NA,NA,o-acetyl-L-serine,NA,PTGS1,NA,ion binding,drug,NA
K63253858,NA,NA,SPP-86,receptor tyrosine protein kinase inhibitor,RET,NA,protein kinase activity,drug,NA
K63430059,NA,NA,methoxsalen,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,NA,ion binding,drug,NA
K63483542,NA,NA,WAY-208466,serotonin receptor agonist,DRD2|HTR2A|HTR2C|HTR6|HTR7,Calcium signaling pathway,NA,drug,NA
K63504947,NA,NA,semaxanib,VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,Rap1 signaling pathway,protein kinase activity,drug,NA
K63516691,NA,NA,T-0156,phosphodiesterase inhibitor,PDE5A,NA,small molecule binding,drug,NA
K63533170,NA,NA,AM-630,cannabinoid receptor antagonist,CNR1|CNR2,NA,G-protein coupled receptor activity,drug,NA
K63550407,NA,NA,erythromycin,NFkB pathway inhibitor,MLNR,NA,G-protein coupled receptor activity,drug,NA
K63630713,NA,NA,etacrynic-acid,sodium/potassium/chloride transporter inhibitor,ATP1A1|SLC12A1,NA,transmembrane transporter activity,drug,NA
K63631219,NA,NA,quazinone,phosphodiesterase inhibitor,PDE3A|PDE3B,cAMP signaling pathway,small molecule binding,drug,NA
K63651590,NA,NA,pirquinozol,histamine release inhibitor,NA,NA,NA,drug,NA
K63675182,NA,NA,triflupromazine,dopamine receptor antagonist,CHRM1|CHRM2|DRD1|DRD2|HTR2B,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K63712959,NA,NA,temoporfin,radical formation stimulant,NA,NA,NA,drug,NA
K63736853,NA,NA,acipimox,cholesterol inhibitor,HCAR2,NA,G-protein coupled receptor activity,drug,NA
K63750851,NA,NA,mycophenolic-acid,dehydrogenase inhibitor; inositol monophosphatase inhibitor,IMPDH1|IMPDH2,Purine metabolism,small molecule binding,drug,NA
K63772874,NA,NA,icatibant-acetate,bradykinin receptor antagonist,ANPEP|BDKRB2,Calcium signaling pathway,ion binding,drug,NA
K63784565,NA,NA,10-hydroxycamptothecin,topoisomerase inhibitor,TOP1,NA,heterocyclic compound binding,drug,NA
K63792901,NA,NA,arecaidine-but-2-ynyl-ester,acetylcholine receptor agonist,CHRM2,NA,G-protein coupled amine receptor activity,drug,NA
K63806092,NA,NA,sitaxentan,endothelin receptor antagonist,EDNRA,NA,G-protein coupled receptor activity,drug,NA
K63828191,NA,NA,raloxifene,estrogen receptor antagonist; selective estrogen receptor modulator (SERM),ESR1|ESR2,NA,signaling receptor activity,drug,NA
K63835048,NA,NA,cefathiamidine,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K63861289,NA,NA,molsidomine,guanylate cyclase stimulant,GUCY1A3,NA,small molecule binding,drug,NA
K63874012,NA,NA,thioperamide,histamine receptor antagonist,HRH3|HRH4,NA,G-protein coupled amine receptor activity,drug,NA
K63876426,NA,NA,elactocin,exportin antagonist,XPO1,NA,heterocyclic compound binding,drug,NA
K63915849,NA,NA,AS-604850,PI3K inhibitor,PIK3CA|PIK3CG,cAMP signaling pathway,protein serine/threonine kinase activity,drug,NA
K63919159,NA,NA,aptiganel,glutamate receptor antagonist,GRIN1,NA,extracellular ligand-gated ion channel activity,drug,NA
K63923597,NA,NA,barasertib-HQPA,Aurora kinase inhibitor,AURKB,NA,protein serine/threonine kinase activity,drug,NA
K63932022,NA,NA,2'-MeCCPA,adenosine receptor agonist,ADORA1,NA,G-protein coupled receptor activity,drug,NA
K63979671,NA,NA,etifenin,renal function diagnostic agent,NA,NA,NA,drug,NA
K64034691,NA,NA,acalabrutinib,Bruton's tyrosine kinase (BTK) inhibitor,BTK,NA,protein kinase activity,drug,NA
K64052750,NA,NA,gefitinib,EGFR inhibitor,EGFR,NA,protein serine/threonine kinase activity,drug,NA
K64054020,NA,NA,epoprostenol,prostacyclin analog,P2RY12|PTGER1|PTGER4|PTGIR|PTGIS,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K64103579,NA,NA,ZLN-024,AMPK activator,PRKAA1|PRKAB1|PRKAG1,NA,protein serine/threonine kinase activity,drug,NA
K64120610,NA,NA,vinflunine,microtubule inhibitor,NA,NA,NA,drug,NA
K64137799,NA,NA,2-methyl-5-hydroxytryptamine,serotonin receptor agonist,HTR1B|HTR1D|HTR1E|HTR1F|HTR3A|HTR3B|HTR6,cAMP signaling pathway,G-protein coupled amine receptor activity,drug,NA
K64157027,NA,NA,ZD-2079,adrenergic receptor agonist,ADRB3,NA,G-protein coupled amine receptor activity,drug,NA
K64178227,NA,NA,BTS,NA,NA,NA,NA,drug,NA
K64191834,NA,NA,"CBS,-N-Cyclohexyl-2-benzothiazolesulfenamide",NA,NA,NA,NA,drug,NA
K64338723,NA,NA,milacemide,monoamine oxidase inhibitor,MAOB,NA,small molecule binding,drug,NA
K64341947,NA,NA,CFM-1571,guanylate cyclase activator,NA,NA,NA,drug,NA
K64381438,NA,NA,ulipristal,progesterone receptor antagonist,PGR,NA,signaling receptor activity,drug,NA
K64400208,NA,NA,DNQX,glutamate receptor antagonist,GRIA1|GRIA2|GRIK1|GRIN1|GRIN2A|GRIN2B,cAMP signaling pathway,extracellular ligand-gated ion channel activity,drug,NA
K64414150,NA,NA,tymazoline,NA,NA,NA,NA,drug,NA
K64422603,NA,NA,N-alpha-Methylhistamine-dihydrochloride,histamine receptor agonist,HRH4,NA,G-protein coupled amine receptor activity,drug,NA
K64451768,NA,NA,GANT-58,GLI antagonist,GLI1,NA,ion binding,drug,NA
K64452997,NA,NA,HA-130,autotaxin inhibitor,ENPP2,NA,ion binding,drug,NA
K64514229,NA,NA,toltrazuril,antiprotozoal agent,NA,NA,NA,drug,NA
K64538373,NA,NA,Ro-4987655,MEK inhibitor,MAP2K1,NA,protein serine/threonine kinase activity,drug,NA
K64557645,NA,NA,zotepine,dopamine receptor antagonist; serotonin receptor antagonist,ADRA2B|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR6|HTR7|SLC6A2|SLC6A4,cAMP signaling pathway,G-protein coupled amine receptor activity,drug,NA
K64614248,NA,NA,salicin,anti-inflammatory agent,NA,NA,NA,drug,NA
K64636206,NA,NA,D-alpha-tocopheryl-succinate,NA,NA,NA,NA,drug,NA
K64642496,NA,NA,Ko143,BCRP inhibitor,ABCB1|ABCC1,NA,transmembrane transporter activity,drug,NA
K64659768,NA,NA,phthalylsulfathiazole,dihydropteroate synthetase inhibitor,NA,NA,NA,drug,NA
K64716392,NA,NA,nedocromil,histamine receptor antagonist,CYSLTR1|CYSLTR2|FPR1|HSP90AA1|PTGDR,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K64748124,NA,NA,GNTI,opioid receptor antagonist,OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K64755930,NA,NA,etazolate,phosphodiesterase inhibitor,GABRB3|PDE4A,cAMP signaling pathway,extracellular ligand-gated ion channel activity,drug,NA
K64785675,NA,NA,TG100-115,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,cAMP signaling pathway,protein serine/threonine kinase activity,drug,NA
K64800655,NA,NA,PHA-793887,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K64834129,NA,NA,eterobarb,anticonvulsant,NA,NA,NA,drug,NA
K64835161,NA,NA,ML167,CLK inhibitor; DYRK inhibitor,CLK4|DYRK1B,NA,protein serine/threonine kinase activity,drug,NA
K64838454,NA,NA,dipraglurant,glutamate receptor negative allosteric modulator,GRM5,NA,G-protein coupled receptor activity,drug,NA
K64852730,NA,NA,TTP-22,casein kinase inhibitor,CSNK2A1,NA,protein serine/threonine kinase activity,drug,NA
K64857848,NA,NA,ERK5-IN-1,MAP kinase inhibitor,MAPK7,NA,protein serine/threonine kinase activity,drug,NA
K64866502,NA,NA,CYC116,Aurora kinase inhibitor,AURKA|AURKB|KDR,Rap1 signaling pathway,protein serine/threonine kinase activity,drug,NA
K64874225,NA,NA,NSC-4644,ACAT inhibitor; sterol regulatory element binding protein (SREBP) inhibitor,PYGM,NA,transferase activity,drug,NA
K64880136,NA,NA,BIRT-377,lymphocyte function-associated antigen negative modulator,ICAM1,NA,signaling receptor activity,drug,NA
K64881305,NA,NA,ispinesib,kinesin inhibitor,KIF11,NA,ATP binding,drug,NA
K64888243,NA,NA,AZ960,JAK inhibitor,JAK2,NA,protein kinase activity,drug,NA
K64890080,NA,NA,BI-2536,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,NA,NA,drug,NA
K64925568,NA,NA,AMG-232,MDM inhibitor,MDM2,NA,transferase activity,drug,NA
K64931368,NA,NA,aminocaproic-acid,plasminogen activator inhibitor,LPA|PLAT|PLG,NA,NA,drug,NA
K64973364,NA,NA,indalpine,selective serotonin reuptake inhibitor (SSRI),SLC6A4,NA,transmembrane transporter activity,drug,NA
K64990520,NA,NA,apocynin,NADPH oxidase inhibitor,NOX4,NA,small molecule binding,drug,NA
K64994968,NA,NA,progesterone,progesterone receptor agonist,CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5,NA,ion channel activity,drug,NA
K65146499,NA,NA,nabumetone,cyclooxygenase inhibitor,PTGS1|PTGS2,NA,ion binding,drug,NA
K65170927,NA,NA,aprepitant,tachykinin antagonist,TACR1,NA,G-protein coupled receptor activity,drug,NA
K65275554,NA,NA,NPC-15199,ICAM1 antagonist,PPARG,NA,G-protein coupled receptor activity,drug,NA
K65285700,NA,NA,GP1a,cannabinoid receptor agonist,CNR2,NA,G-protein coupled receptor activity,drug,NA
K65331431,NA,NA,retinyl-acetate,NA,NA,NA,NA,drug,NA
K65359424,NA,NA,eglumetad,glutamate receptor agonist,GRM2|GRM3|GRM6|GRM8,NA,G-protein coupled receptor activity,drug,NA
K65377893,NA,NA,7-aminocephalosporanic-acid,beta lactamase inhibitor,NA,NA,NA,drug,NA
K65417056,NA,NA,meprylcaine,local anesthetic,NA,NA,NA,drug,NA
K65428967,NA,NA,cordycepin,DNA inhibitor,NA,NA,NA,drug,NA
K65498798,NA,NA,abametapir,metalloproteinase inhibitor,MMP9,NA,ion binding,drug,NA
K65503129,NA,NA,CCT018159,HSP inhibitor,HSP90AA1|HSP90AB1,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K65518078,NA,NA,cilazapril,angiotensin converting enzyme inhibitor,ACE,NA,ion binding,drug,NA
K65544384,NA,NA,4-aminohippuric-acid,NA,SLC22A6,NA,transmembrane transporter activity,drug,NA
K65576800,NA,NA,GW-803430,melanin inhibitor,KCNH2|MCHR1,NA,ion channel activity,drug,NA
K65639003,NA,NA,icariin,phosphodiesterase inhibitor,PDE5A,NA,small molecule binding,drug,NA
K65667145,NA,NA,kinetin,cell division inducer,NA,NA,NA,drug,NA
K65678996,NA,NA,nefiracetam,acetylcholine receptor agonist; benzodiazepine receptor agonist,CHRM1,NA,G-protein coupled amine receptor activity,drug,NA
K65716359,NA,NA,exifone,nootropic agent,TYR,NA,ion binding,drug,NA
K65781196,NA,NA,avanafil,phosphodiesterase inhibitor,PDE5A,NA,small molecule binding,drug,NA
K65786282,NA,NA,CGP-7930,GABA receptor modulator,GABBR1,NA,G-protein coupled receptor activity,drug,NA
K65814004,NA,NA,diphenyleneiodonium,nitric oxide synthase inhibitor,NOS2|NOS3,Calcium signaling pathway,small molecule binding,drug,NA
K65820248,NA,NA,SDZ-NKT-343,tachykinin antagonist,TACR1,NA,G-protein coupled receptor activity,drug,NA
K65856711,NA,NA,rolipram-S(+),phosphodiesterase inhibitor,NA,NA,NA,drug,NA
K65877271,NA,NA,halobetasol-propionate,glucocorticoid receptor agonist,NR3C1|PLA2G1B,NA,signaling receptor activity,drug,NA
K65890018,NA,NA,SSR128129E,NA,NA,NA,NA,drug,NA
K65900713,NA,NA,caroverine,glutamate receptor antagonist; calcium channel blocker,NA,NA,NA,drug,NA
K65904673,NA,NA,tandospirone,serotonin receptor agonist,HTR1A,NA,G-protein coupled amine receptor activity,drug,NA
K65924316,NA,NA,serdemetan,MDM inhibitor,MDM2,NA,transferase activity,drug,NA
K65928735,NA,NA,AZD1480,JAK inhibitor,JAK1|JAK2|JAK3,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K65978409,NA,NA,bismuth-subgallate,nitric oxide synthase inhibitor,NOS1,NA,small molecule binding,drug,NA
K65989725,NA,NA,sudan-iv,NA,NA,NA,NA,drug,NA
K65991129,NA,NA,SB-705498,TRPV antagonist,TRPV1,NA,extracellular ligand-gated ion channel activity,drug,NA
K65992024,NA,NA,pirenoxine,AGE inhibitor,NA,NA,NA,drug,NA
K66019333,NA,NA,oxantel,anthelmintic agent,NA,NA,NA,drug,NA
K66030860,NA,NA,salidroside,beta amyloid protein neurotoxicity inhibitor,APP,NA,ion binding,drug,NA
K66035042,NA,NA,mannitol-D,diuretic,NA,NA,NA,drug,NA
K66036108,NA,NA,lometrexol,glycinamide ribonucleotide formyltransferase inhibitor,GART|MTHFD1,NA,ATP binding,drug,NA
K66093087,NA,NA,FGIN-1-43,benzodiazepine receptor agonist,TSPO,NA,neurotransmitter receptor activity,drug,NA
K66094457,NA,NA,CPP,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D,Calcium signaling pathway,extracellular ligand-gated ion channel activity,drug,NA
K66097663,NA,NA,TMC-353121,RSV fusion inhibitor,NA,NA,NA,drug,NA
K66101666,NA,NA,PYR-41,ubiquitin activating enzyme inhibitor,NA,NA,NA,drug,NA
K66175015,NA,NA,afatinib,EGFR inhibitor,EGFR|ERBB2|ERBB4,Calcium signaling pathway,protein serine/threonine kinase activity,drug,NA
K66192203,NA,NA,opicapone,catechol O methyltransferase inhibitor,COMT,NA,transferase activity,drug,NA
K66206289,NA,NA,lobeline,acetylcholine receptor antagonist,CHRNA10|CHRNA9|SLC18A2,NA,extracellular ligand-gated ion channel activity,drug,NA
K66213167,NA,NA,RX-3117,DNA synthesis inhibitor; CDK inhibitor,CDK2|DNMT1,NA,protein serine/threonine kinase activity,drug,NA
K66241279,NA,NA,cinromide,NA,NA,NA,NA,drug,NA
K66295376,NA,NA,ferulic-acid,antioxidant,CA1|CA12|CA14|CA2|CA4|CA6|CA9,NA,ion binding,drug,NA
K66296774,NA,NA,fluvastatin,HMGCR inhibitor,HMGCR,NA,small molecule binding,drug,NA
K66353228,NA,NA,zoxazolamine,myorelaxant,NA,NA,NA,drug,NA
K66401437,NA,NA,THZ1,CDK inhibitor,CDK7,NA,protein serine/threonine kinase activity,drug,NA
K66404838,NA,NA,nalbuphine,opioid receptor agonist; opioid receptor antagonist,OPRD1|OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K66412701,NA,NA,pazufloxacin,topoisomerase inhibitor,NA,NA,NA,drug,NA
K66437909,NA,NA,KT-433,uricosuric agent,NA,NA,NA,drug,NA
K66465025,NA,NA,ACPC,glutamate receptor antagonist,NA,NA,NA,drug,NA
K66480997,NA,NA,isoguvacine,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRR1|GABRR2|GABRR3,NA,extracellular ligand-gated ion channel activity,drug,NA
K66527818,NA,NA,VU0364770,glutamate receptor positive allosteric modulator,GRM4,NA,G-protein coupled receptor activity,drug,NA
K66538826,NA,NA,amuvatinib,FLT3 inhibitor; KIT inhibitor; PDGFR tyrosine kinase receptor inhibitor; RAD51 inhibitor; RET tyrosine kinase inhibitor,KIT|MET,Rap1 signaling pathway,protein kinase activity,drug,NA
K66541497,NA,NA,BCTC,TRPV antagonist,TRPV1,NA,extracellular ligand-gated ion channel activity,drug,NA
K66584608,NA,NA,TY-52156,sphingosine 1-phosphate receptor antagonist,S1PR3,NA,G-protein coupled receptor activity,drug,NA
K66615216,NA,NA,moxifloxacin,bacterial DNA gyrase inhibitor,TOP2A,NA,ATP binding,drug,NA
K66664625,NA,NA,4-iodo-L-phenylalanine,NA,DPP4,NA,NA,drug,NA
K66672047,NA,NA,disodium sebacate,NA,HBA1|HBB,NA,ion binding,drug,NA
K66715657,NA,NA,UH-232-(+),dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR1A,cAMP signaling pathway,NA,drug,NA
K66766661,NA,NA,estradiol-valerate,estrogen receptor agonist,ESR1,NA,signaling receptor activity,drug,NA
K66786476,NA,NA,pregabalin,voltage-gated calcium channel ligand,CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8,Calcium signaling pathway,ion channel activity,drug,NA
K66788707,NA,NA,fludarabine,ribonucleotide reductase inhibitor,ADA|RRM1|RRM2,Purine metabolism,small molecule binding,drug,NA
K66808046,NA,NA,oxyquinoline,chelating agent,METAP2,NA,ion binding,drug,NA
K66830666,NA,NA,BAZ2-ICR,bromodomain inhibitor,ZNF215,NA,ion binding,drug,NA
K66845263,NA,NA,sophocarpine,NA,NA,NA,NA,drug,NA
K66850609,NA,NA,voglibose,glucosidase inhibitor,MGAM,NA,NA,drug,NA
K66874953,NA,NA,pifithrin-alpha,TP53 inhibitor,TP53,NA,ATP binding,drug,NA
K66876909,NA,NA,linezolid,bacterial 50S ribosomal subunit inhibitor,MAOA|MAOB,NA,NA,drug,NA
K66896231,NA,NA,ipidacrine,acetylcholinesterase inhibitor,ACHE,NA,ion binding,drug,NA
K66896751,NA,NA,alpidem,benzodiazepine receptor agonist,GABRA1,NA,extracellular ligand-gated ion channel activity,drug,NA
K66898851,NA,NA,sanguinarium-chloride,apoptosis stimulant,CASP3,NA,NA,drug,NA
K66908976,NA,NA,URMC-099,mixed lineage kinase inhibitor,CDKL2|DAPK3|FLT3|LRRK2|MAP3K10|MAP3K11|MAP3K2|MAP3K9|SRPK2,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K66911501,NA,NA,MK-3207,calcitonin antagonist,CALCA,NA,NA,drug,NA
K66918327,NA,NA,enbucrilate,NA,NA,NA,NA,drug,NA
K66937583,NA,NA,lodoxamide,histamine receptor antagonist,NA,NA,NA,drug,NA
K66956375,NA,NA,oleoylethanolamide,cannabinoid receptor agonist; glucose dependent insulinotropic receptor agonist; potassium channel blocker; PPAR receptor agonist,CNR1|GPR119|GPR55|PPARA,cAMP signaling pathway,G-protein coupled receptor activity,drug,NA
K66998413,NA,NA,EB-47,PARP inhibitor,PARP1,NA,transferase activity,drug,NA
K67013324,NA,NA,luzindole,melatonin receptor antagonist,MTNR1A|MTNR1B,NA,G-protein coupled receptor activity,drug,NA
K67017579,NA,NA,cilostazol,phosphodiesterase inhibitor,PDE3A|PDE3B,cAMP signaling pathway,small molecule binding,drug,NA
K67043667,NA,NA,altretamine,DNA synthesis inhibitor,NA,NA,NA,drug,NA
K67068943,NA,NA,ORE1001,angiotensin converting enzyme inhibitor,ACE2,NA,ion binding,drug,NA
K67079690,NA,NA,LUF-5834,adenosine receptor agonist,ADORA2A|ADORA2B,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K67080878,NA,NA,milrinone,phosphodiesterase inhibitor,PDE2A|PDE3A|PDE3B|PDE5A,cAMP signaling pathway,ion channel activity,drug,NA
K67100011,NA,NA,pivmecillinam,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K67102207,NA,NA,phenylbutyrate,HDAC inhibitor,HDAC1,NA,heterocyclic compound binding,drug,NA
K67117832,NA,NA,dextran,NA,NA,NA,NA,drug,NA
K67121414,NA,NA,apixaban,coagulation factor inhibitor,F10,NA,ion binding,drug,NA
K67173685,NA,NA,4E1RCat,protein synthesis inhibitor,EIF4E|EIF4G1,NA,heterocyclic compound binding,drug,NA
K67186445,NA,NA,dehydrocorydaline,acetylcholinesterase inhibitor,ACHE,NA,ion binding,drug,NA
K67217586,NA,NA,fenthion,cholinesterase inhibitor,NA,NA,NA,drug,NA
K67261995,NA,NA,iodipamide,radiopaque medium,ALB,NA,ion binding,drug,NA
K67262033,NA,NA,TAK-593,VEGFR inhibitor,PDGFRA,NA,protein kinase activity,drug,NA
K67277431,NA,NA,picotamide,thromboxane receptor antagonist; thromboxane synthase inhibitor,TBXA2R,NA,G-protein coupled receptor activity,drug,NA
K67298865,NA,NA,SB-431542,TGF beta receptor inhibitor,ACVR1C|TGFBR1,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K67304264,NA,NA,SKA-31,potassium channel activator,KCNN4,NA,ion channel activity,drug,NA
K67375056,NA,NA,lauric-acid,bacterial permeability inducer,GPR84|HNF4A|LTF|LY96|PLA2G2A|TLR4,PI3K-Akt signaling pathway,G-protein coupled receptor activity,drug,NA
K67392463,NA,NA,tannic-acid,PARG inhibitor,ANO1,NA,ion channel activity,drug,NA
K67397687,NA,NA,GPBAR-A,G protein coupled receptor agonist,GPBAR1,NA,G-protein coupled receptor activity,drug,NA
K67445247,NA,NA,flurofamide,urease inhibitor,NA,NA,NA,drug,NA
K67482377,NA,NA,itacitinib,JAK inhibitor,JAK1,NA,protein kinase activity,drug,NA
K67511046,NA,NA,naloxone,opioid receptor antagonist,CREB1|ESR1|OPRD1|OPRK1|OPRM1|TLR4,cGMP-PKG signaling pathway,heterocyclic compound binding,drug,NA
K67525671,NA,NA,ZK-200775,kainate receptor antagonist,NA,NA,NA,drug,NA
K67536197,NA,NA,cyclocytidine,DNA synthesis inhibitor; RNA synthesis inhibitor,NA,NA,NA,drug,NA
K67537649,NA,NA,PQ-401,IGF-1 inhibitor,IGF1R,NA,protein kinase activity,drug,NA
K67563174,NA,NA,acemetacin,cyclooxygenase inhibitor,PTGS1|PTGS2,NA,ion binding,drug,NA
K67566344,NA,NA,ku-0063794,mTOR inhibitor,MTOR,NA,NA,drug,NA
K67578145,NA,NA,GDC-0879,RAF inhibitor,BRAF,NA,protein serine/threonine kinase activity,drug,NA
K67601717,NA,NA,almotriptan,serotonin receptor agonist,HTR1B|HTR1D,cAMP signaling pathway,G-protein coupled amine receptor activity,drug,NA
